date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:04	69/69	U--MCZ	200	updated ('OK')	text/plain	date:Sat,%2022%20Aug%202020%2021:14:03%20GMT	https://happilyhosein.com/robots.txt		(from )
16:14:04	30695/30695	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Aug%202020%2021:11:56%20GMT	https://happilyhosein.com/	B:/src/HappilyHoseinStatic/happilyhosein.com/index.html	(from )
16:14:04	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2022%20Aug%202020%2021:14:04%20GMT	https://happilyhosein.com/xmlrpc.php	B:/src/HappilyHoseinStatic/happilyhosein.com/xmlrpc.php	(from https://happilyhosein.com/)
16:14:05	109385/109385	---M--	200	added ('OK')	image/jpeg	etag:%221ab49-5a7f02ac3739d%22	https://happilyhosein.com/wp-content/uploads/2019/10/IMG_6608_Fotor-1024x683.jpg	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/uploads/2019/10/IMG_6608_Fotor-1024x683.jpg	(from https://happilyhosein.com/)
16:14:07	29295/29295	---MCZ	200	added ('OK')	text/css	etag:W/%22726f-58725baf96700%22	https://happilyhosein.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.7	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-includes/css/dist/block-library/style.min6e7a.css	(from https://happilyhosein.com/)
16:14:07	1626/1626	---MC-	200	added ('OK')	application/rss+xml	etag:%22a095af0fbe4d03a55c94aaa9686dcfe8%22	https://happilyhosein.com/comments/feed/	B:/src/HappilyHoseinStatic/happilyhosein.com/comments/feed/index.html	(from https://happilyhosein.com/)
16:14:07	6499/6499	---MC-	200	added ('OK')	application/rss+xml	etag:%227cc952428634f5b891157e7deb7ff20c%22	https://happilyhosein.com/feed/	B:/src/HappilyHoseinStatic/happilyhosein.com/feed/index.html	(from https://happilyhosein.com/)
16:14:07	1685/1685	---MCZ	200	added ('OK')	text/css	etag:W/%22695-5957490489e23%22	https://happilyhosein.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://happilyhosein.com/)
16:14:07	36520/36520	---MCZ	200	added ('OK')	text/css	etag:W/%228ea8-595748602deaf%22	https://happilyhosein.com/wp-content/themes/stack/style.css?ver=5.2.7	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/themes/stack/style6e7a.css	(from https://happilyhosein.com/)
16:14:08	241/241	---MCZ	200	added ('OK')	text/css	etag:W/%22f1-595748b5e4908%22	https://happilyhosein.com/wp-content/themes/stack-child/style.css?ver=10.5.17	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/themes/stack-child/stylea741.css	(from https://happilyhosein.com/)
16:14:08	8740299/8740299	---M--	200	added ('OK')	image/jpeg	etag:%22855dcb-595d772f91663%22	https://happilyhosein.com/wp-content/uploads/2019/10/IMG_6608_Fotor.jpg	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/uploads/2019/10/IMG_6608_Fotor.jpg	(from https://happilyhosein.com/)
16:14:08	484857/484857	---MCZ	200	added ('OK')	text/css	etag:W/%22765f9-5957490ac9019%22	https://happilyhosein.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.0.3	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/plugins/js_composer/assets/css/js_composer.min1eb7.css	(from https://happilyhosein.com/)
16:14:09	64168/64168	---MCZ	200	added ('OK')	text/css	etag:W/%22faa8-595748600bfb7%22	https://happilyhosein.com/wp-content/themes/stack/style/css/bootstrap.css?ver=10.5.17	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/themes/stack/style/css/bootstrapa741.css	(from https://happilyhosein.com/)
16:14:09	12365/12365	---MCZ	200	added ('OK')	text/css	etag:W/%22304d-5957485ff73af%22	https://happilyhosein.com/wp-content/themes/stack/style/css/icons.css?ver=10.5.17	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/themes/stack/style/css/iconsa741.css	(from https://happilyhosein.com/)
16:14:09	11702/11702	---MCZ	200	added ('OK')	text/css	etag:W/%222db6-5957485ff73af%22	https://happilyhosein.com/wp-content/themes/stack/style/css/plugins.css?ver=10.5.17	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/themes/stack/style/css/pluginsa741.css	(from https://happilyhosein.com/)
16:14:09	157090/157090	---MCZ	200	added ('OK')	text/css	etag:W/%222e936-5961716d4dc34-gzip%22	https://happilyhosein.com/wp-content/uploads/wp-less/stack/style/css/theme-3184233f84.css	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/uploads/wp-less/stack/style/css/theme-3184233f84.css	(from https://happilyhosein.com/)
16:14:10	96447/96447	---MCZ	200	added ('OK')	text/css	etag:W/%22178bf-5957485ff73af%22	https://happilyhosein.com/wp-content/themes/stack/style/css/iconsmind.css?ver=10.5.17	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-content/themes/stack/style/css/iconsminda741.css	(from https://happilyhosein.com/)
16:14:11	96873/96873	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2217a69-58920666e0b80%22	https://happilyhosein.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-includes/js/jquery/jquery4a5f.js	(from https://happilyhosein.com/)
16:14:11	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%222748-53347ec8e5a00%22	https://happilyhosein.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://happilyhosein.com/)
16:14:11	816/816	---MCZ	200	added ('OK')	text/xml	date:Sat,%2022%20Aug%202020%2021:14:11%20GMT	https://happilyhosein.com/xmlrpc.php?rsd	B:/src/HappilyHoseinStatic/happilyhosein.com/xmlrpc0db0.php	(from https://happilyhosein.com/)
16:14:11	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-4ed5052f81800%22	https://happilyhosein.com/wp-includes/wlwmanifest.xml	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-includes/wlwmanifest.xml	(from https://happilyhosein.com/)
16:14:11	78986/78986	---MCZ	200	added ('OK')	application/json	date:Sat,%2022%20Aug%202020%2021:14:11%20GMT	https://happilyhosein.com/wp-json/	B:/src/HappilyHoseinStatic/happilyhosein.com/wp-json/index.html	(from https://happilyhosein.com/)
